Datetime,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA
2025-11-13 14:30:00+00:00,421.67999267578125,423.3999938964844,421.42999267578125,423.17498779296875,2074156
2025-11-13 14:31:00+00:00,422.760009765625,422.95001220703125,420.5899963378906,421.760009765625,447548
2025-11-13 14:32:00+00:00,422.94000244140625,423.77081298828125,421.8900146484375,422.6600036621094,344262
2025-11-13 14:33:00+00:00,423.4601135253906,424.0,422.510009765625,423.0072021484375,314144
2025-11-13 14:34:00+00:00,423.4750061035156,424.5,423.010009765625,423.5299987792969,333581
2025-11-13 14:35:00+00:00,421.510009765625,423.5299987792969,421.3599853515625,423.44000244140625,337102
2025-11-13 14:36:00+00:00,420.2900085449219,421.55999755859375,419.29998779296875,421.5199890136719,697498
2025-11-13 14:37:00+00:00,420.5928039550781,420.69989013671875,418.860107421875,420.3299865722656,472652
2025-11-13 14:38:00+00:00,420.635009765625,421.2099914550781,420.04998779296875,420.55999755859375,312764
2025-11-13 14:39:00+00:00,420.1199951171875,421.239990234375,420.0199890136719,420.6099853515625,219293
2025-11-13 14:40:00+00:00,421.2560119628906,421.4800109863281,419.91009521484375,420.04998779296875,277458
2025-11-13 14:41:00+00:00,419.2900085449219,421.510009765625,419.1000061035156,421.29998779296875,317523
2025-11-13 14:42:00+00:00,419.9383850097656,419.9383850097656,418.1099853515625,419.2959899902344,469124
2025-11-13 14:43:00+00:00,419.02508544921875,420.1600036621094,418.4100036621094,419.7950134277344,229419
2025-11-13 14:44:00+00:00,418.6600036621094,419.2900085449219,418.5,419.0101013183594,183413
2025-11-13 14:45:00+00:00,419.2550048828125,419.8500061035156,418.0400085449219,418.6499938964844,301652
2025-11-13 14:46:00+00:00,419.17999267578125,419.6300048828125,418.5199890136719,419.2900085449219,239685
2025-11-13 14:47:00+00:00,418.3851013183594,419.45660400390625,417.80999755859375,419.19000244140625,367003
2025-11-13 14:48:00+00:00,418.4849853515625,419.25,418.3299865722656,418.3550109863281,236968
2025-11-13 14:49:00+00:00,417.75,419.2699890136719,417.239990234375,418.4700012207031,374913
2025-11-13 14:50:00+00:00,418.79998779296875,418.8299865722656,417.4114074707031,417.7300109863281,279690
2025-11-13 14:51:00+00:00,418.32000732421875,418.8699951171875,416.79998779296875,418.7340087890625,419764
2025-11-13 14:52:00+00:00,418.57598876953125,419.07000732421875,418.1000061035156,418.28509521484375,270077
2025-11-13 14:53:00+00:00,418.3349914550781,419.0899963378906,417.6000061035156,418.5849914550781,233826
2025-11-13 14:54:00+00:00,416.9100036621094,418.5400085449219,416.7799987792969,418.3800048828125,267468
2025-11-13 14:55:00+00:00,416.42999267578125,416.9999084472656,415.5299987792969,416.9599914550781,568827
2025-11-13 14:56:00+00:00,416.8450927734375,417.239990234375,416.1499938964844,416.4289855957031,305205
2025-11-13 14:57:00+00:00,416.0400085449219,417.2200012207031,415.6400146484375,416.80999755859375,257104
2025-11-13 14:58:00+00:00,415.239990234375,416.32000732421875,414.9200134277344,416.0400085449219,451376
2025-11-13 14:59:00+00:00,414.5899963378906,415.3399963378906,414.3900146484375,415.2799987792969,333170
2025-11-13 15:00:00+00:00,414.75,414.92999267578125,414.1000061035156,414.5799865722656,373455
2025-11-13 15:01:00+00:00,413.6090087890625,414.7398986816406,412.70001220703125,414.70001220703125,574591
2025-11-13 15:02:00+00:00,413.1199951171875,413.639892578125,412.69000244140625,413.5700988769531,307633
2025-11-13 15:03:00+00:00,413.32000732421875,413.6400146484375,412.7200012207031,413.0400085449219,315679
2025-11-13 15:04:00+00:00,412.1700134277344,413.42999267578125,411.70001220703125,413.4049987792969,465002
2025-11-13 15:05:00+00:00,411.69000244140625,412.5,411.3299865722656,412.25,369998
2025-11-13 15:06:00+00:00,413.0711975097656,413.19000244140625,411.4100036621094,411.6499938964844,413208
2025-11-13 15:07:00+00:00,413.44000244140625,413.510009765625,412.6300048828125,413.0600891113281,394157
2025-11-13 15:08:00+00:00,414.5216979980469,414.69000244140625,413.2300109863281,413.4100036621094,442361
2025-11-13 15:09:00+00:00,415.1000061035156,415.3699951171875,414.59600830078125,414.59991455078125,314903
2025-11-13 15:10:00+00:00,414.8500061035156,415.239990234375,414.16009521484375,415.1000061035156,340434
2025-11-13 15:11:00+00:00,414.8988952636719,415.25,414.6000061035156,414.92999267578125,224496
2025-11-13 15:12:00+00:00,415.5011901855469,416.04998779296875,414.70001220703125,414.875,289093
2025-11-13 15:13:00+00:00,414.3951110839844,415.56500244140625,414.0,415.5,262030
2025-11-13 15:14:00+00:00,415.1099853515625,415.2598876953125,414.3551940917969,414.3900146484375,167376
